Word Pair,MI,Mean CosSim,MSE
Above-Berry,0.004169758586488381,0.0417705612995565,0.125
Above-Beryl,0.0,0.044992954851763564,0.12
Above-Beset,0.007131118889690036,0.030801575313265696,0.125
Above-Betsy,0.0821402831816517,0.031094191037924285,0.12
Above-Betta,0.0821402831816517,0.030801575313265696,0.105
Above-Betty,0.0821402831816517,0.031094191037924285,0.12
Above-Biddy,0.004169758586488381,0.031094191037924282,0.125
Above-Bidet,0.0016671492549624328,0.030801575313265696,0.125
Above-Bigot,0.005836907841450814,0.030801575313265696,0.125
Above-Billy,0.004169758586488381,0.0417705612995565,0.125
Above-Binge,0.004169758586488381,0.030801575313265703,0.12
Above-Birch,0.004169758586488381,0.031094191037924282,0.125
Above-Birth,0.172113906320661,0.04499295485176355,0.12
Above-Bitty,0.0821402831816517,0.031094191037924285,0.12
Above-Black,0.004169758586488381,0.030801575313265696,0.12
Above-Blade,0.004169758586488381,0.033577164502832615,0.105
After-Above,0.0016671492549624328,0.0417705612995565,0.105
After-After,0.16794414773417263,0.0625,0.0
After-Again,0.0,0.04499295485176356,0.045
After-Agent,0.0016671492549624328,0.059847921140099514,0.10499999999999998
After-Agree,0.0,0.04499295485176355,0.08
After-Alarm,0.0,0.02997346907287814,0.105
After-Album,0.0,0.04553458691207961,0.07999999999999999
After-Alive,0.0016671492549624328,0.0417705612995565,0.12
After-Allay,0.0,0.04553458691207961,0.105
After-Alleg,0.0,0.04553458691207961,0.105
After-Aloft,0.0016671492549624328,0.059847921140099514,0.12
After-Alone,0.0,0.02997346907287814,0.12
After-Along,0.0,0.04553458691207961,0.12
After-Amaze,0.0016671492549624328,0.0417705612995565,0.12
After-Ample,0.0,0.029973469072878144,0.12
After-Angel,0.0,0.04553458691207961,0.07999999999999999
After-Angry,0.0,0.059847921140099514,0.12
After-Ankle,0.0,0.02997346907287814,0.12
After-April,0.0,0.029156646934131853,0.07999999999999999
After-Arena,0.0,0.02997346907287814,0.12
After-Arise,0.0016671492549624328,0.0417705612995565,0.12
After-Armor,0.0,0.029156646934131857,0.08
After-Aside,0.0016671492549624328,0.0417705612995565,0.12
After-Asset,0.04236459323068101,0.029156646934131853,0.07999999999999999
After-Avoid,0.0016671492549624328,0.04499295485176355,0.105
After-Bacon,0.0,0.04553458691207961,0.105
After-Badge,0.0,0.0308015753132657,0.125
After-Bagel,0.0,0.04553458691207961,0.105
After-Baker,0.0,0.043275105956039804,0.105
After-Balmy,0.0,0.059847921140099514,0.125
After-Bandy,0.0,0.0625,0.125
After-Barer,0.0,0.043275105956039804,0.105
After-Basil,0.16794414773417263,0.059847921140099514,0.08
After-Batch,0.16794414773417263,0.04499295485176356,0.12
After-Bathe,0.16794414773417263,0.04553458691207961,0.11999999999999998
After-Beach,0.0,0.0308015753132657,0.125
After-Beady,0.0,0.04553458691207961,0.125
After-Beaky,0.0,0.05725333691207961,0.125
After-Beamy,0.0,0.05725333691207961,0.125
After-Beard,0.0,0.043275105956039804,0.125
After-Beige,0.0,0.029156646934131853,0.125
After-Bella,0.0,0.043275105956039804,0.125
After-Belly,0.0,0.059847921140099514,0.125
After-Belon,0.0,0.04327510595603981,0.10499999999999997
After-Berry,0.0,0.059847921140099514,0.125
After-Beryl,0.0,0.05725333691207961,0.12
After-Beset,0.07797052459516332,0.043275105956039804,0.10499999999999998
After-Betsy,0.07797052459516332,0.0417705612995565,0.12
After-Betta,0.07797052459516332,0.043275105956039804,0.12
After-Betty,0.07797052459516332,0.0417705612995565,0.12
After-Biddy,0.0,0.04499295485176355,0.125
After-Bidet,0.0016671492549624328,0.04553458691207961,0.12
After-Bigot,0.0016671492549624328,0.04553458691207961,0.12
After-Billy,0.0,0.059847921140099514,0.125
After-Binge,0.0,0.04553458691207961,0.125
After-Birch,0.0,0.04499295485176356,0.125
After-Birth,0.0016671492549624328,0.059847921140099514,0.125
After-Bitty,0.07797052459516332,0.0417705612995565,0.12
After-Black,0.0,0.04553458691207961,0.12
After-Blade,0.0,0.04553458691207961,0.125
Again-Above,0.004169758586488381,0.031094191037924282,0.08
Again-After,0.0,0.04499295485176355,0.045
Again-Again,0.2337916587064592,0.03515625,0.0
Again-Agent,0.0,0.044992954851763564,0.07999999999999999
Again-Agree,0.0,0.031094191037924282,0.08
Again-Alarm,0.004169758586488381,0.020745549246666238,0.08
Again-Album,0.0,0.030801575313265703,0.08
Again-Alive,0.004169758586488381,0.03109419103792429,0.105
Again-Allay,0.2337916587064592,0.033577164502832615,0.105
Again-Alleg,0.0,0.033577164502832615,0.105
Again-Aloft,0.0,0.044992954851763564,0.105
Again-Alone,0.0,0.02174467292893051,0.105
Again-Along,0.0,0.033577164502832615,0.105
Again-Amaze,0.004169758586488381,0.03109419103792429,0.105
Again-Ample,0.004169758586488381,0.02174467292893051,0.12
Again-Angel,0.0,0.030801575313265703,0.08
Again-Angry,0.004169758586488381,0.0417705612995565,0.12
Again-Ankle,0.004169758586488381,0.02174467292893051,0.12
Again-April,0.2337916587064592,0.020745549246666238,0.08
Again-Arena,0.0,0.02174467292893051,0.105
Again-Arise,0.004169758586488381,0.03109419103792429,0.105
Again-Armor,0.2337916587064592,0.020745549246666238,0.08
Again-Aside,0.004169758586488381,0.031094191037924282,0.105
Again-Asset,0.0,0.020745549246666235,0.105
Again-Avoid,0.2337916587064592,0.03515625,0.08
Again-Bacon,0.004169758586488381,0.033577164502832615,0.105
Again-Badge,0.004169758586488381,0.022767293456039804,0.125
Again-Bagel,0.0,0.033577164502832615,0.105
Again-Baker,0.0,0.0308015753132657,0.105
Again-Balmy,0.004169758586488381,0.04499295485176355,0.12499999999999999
Again-Bandy,0.004169758586488381,0.04499295485176355,0.125
Again-Barer,0.0,0.0308015753132657,0.105
Again-Basil,0.004169758586488381,0.0417705612995565,0.105
Again-Batch,0.004169758586488381,0.031094191037924282,0.125
Again-Bathe,0.0,0.030801575313265696,0.125
Again-Beach,0.004169758586488381,0.02174467292893051,0.12
Again-Beady,0.004169758586488381,0.033577164502832615,0.12
Again-Beaky,0.004169758586488381,0.0417705612995565,0.12
Again-Beamy,0.004169758586488381,0.0417705612995565,0.12
Again-Beard,0.004169758586488381,0.030801575313265696,0.12
Again-Beige,0.004169758586488381,0.02074554924666623,0.12
Again-Bella,0.004169758586488381,0.030801575313265696,0.125
Again-Belly,0.004169758586488381,0.04499295485176355,0.125
Again-Belon,0.004169758586488381,0.030801575313265696,0.105
Again-Berry,0.004169758586488381,0.04499295485176355,0.125
Again-Beryl,0.0,0.0417705612995565,0.12
Again-Beset,0.0,0.030801575313265696,0.12
Again-Betsy,0.004169758586488381,0.031094191037924282,0.125
Again-Betta,0.004169758586488381,0.030801575313265696,0.125
Again-Betty,0.004169758586488381,0.031094191037924282,0.125
Again-Biddy,0.004169758586488381,0.03515625,0.125
