Word Pair,MI,Mean CosSim,MSE
Again-Ankle,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-April,0.12374508577436316,0.00279999990016222,1.6207022781600244e-05
Again-Arena,0.03951008251756738,0.00039999998989515007,1.4670698874397203e-05
Again-Arise,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Armor,0.07748477604138104,-0.00039999998989515007,1.771633469616063e-05
Again-Aside,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Asset,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Avoid,0.07652057447134197,-0.004000000189989805,1.646782038733363e-05
Again-Bacon,3.3440441843062887,0.00039999998989515007,0.0
Again-Badge,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Bagel,0.12374508577436316,0.00279999990016222,1.6207022781600244e-05
Again-Baker,0.03079951620338539,0.0,1.5938436263240874e-05
Again-Balmy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Bandy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Barer,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Basil,0.12374508577436316,0.00279999990016222,1.6207022781600244e-05
Again-Batch,0.0,0.0,1.6826952560222708e-05
Again-Bathe,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Beach,0.0,0.0,1.6826952560222708e-05
Again-Beady,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Beaky,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Beamy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Beard,0.07652057447134197,-0.004000000189989805,1.646782038733363e-05
Again-Beige,0.0,-0.0031999999191612005,1.6002364645828493e-05
Again-Bella,0.03951008251756738,0.00039999998989515007,1.4670698874397203e-05
Again-Belly,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Belon,3.3440441843062887,0.00039999998989515007,0.0
Again-Berry,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Beryl,0.12374508577436316,0.00279999990016222,1.6207022781600244e-05
Again-Beset,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Betsy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Betta,0.03951008251756738,0.00039999998989515007,1.4670698874397203e-05
Again-Betty,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Biddy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Bidet,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Bigot,0.0,0.002400000113993883,1.8303438992006704e-05
Again-Billy,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Binge,0.0,0.0020000000949949026,1.6240721379290335e-05
Again-Birch,0.0,0.0,1.6826952560222708e-05
Again-Birth,0.0,0.0,1.6826952560222708e-05
Again-Bitty,0.05520265682603265,0.0007999999797903001,1.4875063243380282e-05
Again-Black,0.0,0.0015999999595806003,1.7424697944079526e-05
Again-Blade,0.0,0.0020000000949949026,1.6240721379290335e-05
Agent-Above,0.0,0.012000000104308128,1.7799186025513336e-05
Agent-After,0.0,0.0,1.700429493212141e-05
Agent-Again,0.0,0.002400000113993883,1.8303438992006704e-05
Agent-Agent,3.344044184306288,0.014399999752640724,0.0
Agent-Agree,0.0,0.012000000104308128,1.7799186025513336e-05
Agent-Alarm,0.0,0.002400000113993883,1.667178366915323e-05
Agent-Album,0.0,0.002400000113993883,1.667178366915323e-05
Agent-Alive,0.0,0.012000000104308128,1.7799186025513336e-05
Agent-Allay,0.034460468796653654,0.004800000227987766,1.581108517711982e-05
Agent-Alleg,0.011330758467252178,-0.019200000911951065,1.883116965473164e-05
Agent-Aloft,3.344044184306288,0.014399999752640724,0.0
Agent-Alone,0.0,0.012000000104308128,1.7799186025513336e-05
Agent-Along,0.011330758467252178,-0.019200000911951065,1.883116965473164e-05
